2014-10-14,0,0
2014-10-15,0,0
2014-10-16,0,0
2014-10-17,0,0
2014-10-18,0,0
2014-10-19,0,0
2014-10-20,0,0
2014-10-21,0,0
2014-10-22,0,0
2014-10-23,0,0
2014-10-24,15793,0
2014-10-25,24504,0
2014-10-26,16236,0
2014-10-27,15648,0
2014-10-28,18711,0
2014-10-29,394,0
2014-10-30,23981,0
2014-10-31,26789,0
2014-11-01,18772,0
2014-11-02,4961,0
2014-11-03,0,0
2014-11-04,914,0
2014-11-05,0,0
2014-11-06,8476,0
2014-11-07,3118,0
2014-11-08,6090,0
2014-11-09,11136,0
2014-11-10,0,0
2014-11-11,1630,0
2014-11-12,3071,0
2014-11-13,5162,0
