2014-10-18,0,0
2014-10-19,0,0
2014-10-20,0,0
2014-10-21,0,0
2014-10-22,0,0
2014-10-23,0,0
2014-10-24,0,0
2014-10-25,0,0
2014-10-26,0,0
2014-10-27,0,0
2014-10-28,0,0
2014-10-29,0,0
2014-10-30,1479,0
2014-10-31,10787,0
2014-11-01,27948,0
2014-11-02,18799,0
2014-11-03,23048,0
2014-11-04,28807,0
2014-11-05,30935,0
2014-11-06,14174,0
2014-11-07,17559,0
2014-11-08,25613,0
2014-11-09,12950,0
2014-11-10,17409,0
2014-11-11,115224,0
2014-11-12,23750,0
2014-11-13,19489,0
2014-11-14,0,0
2014-11-15,0,0
2014-11-16,0,0
2014-11-17,0,0
