2014-12-01,0,0
2014-12-02,0,0
2014-12-03,0,0
2014-12-04,0,0
2014-12-05,0,0
2014-12-06,0,0
2014-12-07,0,0
2014-12-08,0,0
2014-12-09,109,12
2014-12-10,90,5
2014-12-11,108,5
2014-12-12,115,2
2014-12-13,81,0
2014-12-14,22,2
2014-12-15,194,0
2014-12-16,148,5
2014-12-17,207,4
2014-12-18,158,0
2014-12-19,136,0
2014-12-20,245,11
2014-12-21,251,2
2014-12-22,208,4
2014-12-23,156,42
2014-12-24,26,2
2014-12-25,132,9
2014-12-26,1,5
2014-12-27,61,1
2014-12-28,75,0
2014-12-29,92,2
2014-12-30,2,0
2014-12-31,36,0
