2014-10-24,98,19
2014-10-25,97,7
2014-10-26,0,0
2014-10-27,0,0
2014-10-28,0,0
2014-10-29,0,0
2014-10-30,0,0
2014-10-31,59,3
2014-11-01,104,17
2014-11-02,194,31
2014-11-03,322,14
2014-11-04,171,7
2014-11-05,66,3
2014-11-06,1,2
2014-11-07,78,2
2014-11-08,59,5
2014-11-09,113,2
2014-11-10,196,9
2014-11-11,9,0
2014-11-12,55,0
2014-11-13,80,34
2014-11-14,96,25
2014-11-15,46,2
2014-11-16,254,5
2014-11-17,63,4
2014-11-18,0,0
2014-11-19,42,1
2014-11-20,4,10
2014-11-21,0,0
2014-11-22,43,0
2014-11-23,169,22
